junction,dis_score,risk_level,strategy,barricades,ods_driven_barricades,closure_type,barricade_window_start,barricade_window_end,teams_needed,severity_hotspot_score
CommandoHospitalJunc,7.47,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,23.30063243733017
South end circle,13.82,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,11.078117742026793
VetenaryHospitalJunc-Shivajinagar,7.55,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,16.247062895524238
VishweswaraiahJunctio(Uttamsagar),11.28,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
RRR(Okalipuram)Junction,6.93,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,21.8612247459796
BegumMahalJunc,11.26,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,33.29332311409473
Peenya2ndStageBusStand,5.23,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,12.028793872221616
DoddaballapuraCrossJunc,4.98,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,13.02343779419267
HalliThindi,4.95,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,13.035609972417085
NIMHANS Junction,5.82,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,24.63032535168297
ChandrikaJunction,4.86,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,7.404924008429772
KalyanNagar-ORR Junc,5.68,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,48.61933571485628
Devanahalli new bus stand,4.83,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,2.843236006716741
LinkRoadMalleswaramJunc,4.72,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,9.754787681839826
DevanahalliCrossJunc,4.73,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,8.123531447762119
Geethanjali jn,4.74,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
LalbaghWestGate,4.7,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
ChandraLayoutJunc-nearWaterTank,4.06,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,26.226571407286126
TC Palya-OM RoadJunc,4.82,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,17.224961863031343
GovindapuraCross,4.57,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
NGV RearGateJunc,4.5,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,10.295262908860002
D'SouzaCircle,4.71,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,18.263631989400544
Minerva Circle,4.46,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,6.370862975003506
"Trilight Circle,Race course Road",10.43,Low,none,4,4,none,deploy_at_event_start,remove_after_360_min,1,8.226115169629434
Basappa Circle Junction,4.74,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,12.245724121673362
UpparpetJunction,4.4,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,8.91840189226469
LowerAgaram(IndiaGarage)Junc,10.39,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,9.106652571585553
HosmatJunction,4.57,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,12.185297171643178
ShankarMuttCircle,4.56,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,11.357440692579338
Bamboobazar(Shivajinagar),4.32,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,9.78487777292734
"Jayanagar 4th main,36th cross",4.3,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,9.567808976840697
SafinaPlazaJunc,6.32,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,12.546837052395531
BasavamantapaJunc-Dr RajkumarRd,4.26,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,9.431264207821773
NTTF JunctionPeenya,4.25,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,8.472345179845922
NavarangBarJunc-Dr RajkumarRd,4.24,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,9.919610067032664
KCG HospitalJunction,4.23,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,9.614995196369373
ISRO Junction-NewBEL Rd,4.26,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,0.0
MaharajaJunction,10.2,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,6.383558335161812
ColesParkJunc,4.23,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
NagaTheaterJunc-Ulsoor,4.19,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,5.416422819377365
ThomasCafe-New,4.21,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
DMRoadJunc(Basavangudi),10.21,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
DickensonRd-AdigasJunc,10.21,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
KensingtonOvalJunc,10.21,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
MSRamaiahHospitalJunc,4.21,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
K G Junction,4.21,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.061765723881059
YediyurMeternityHospital,4.21,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,3.9891056928687663
KR Road-14thCross Junc,4.17,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.824388322532902
27th Cross Jayanagar(Ganapathi Temple),4.17,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.789605049702893
BHEL Gate,4.2,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,3.470274839349371
TVS CrossJunction,4.16,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.328178397839116
Geeta Circle,4.16,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,4.266224553209622
MarenahalliRd-18thMainRdJunc,10.19,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,3.19161018169386
GowdanapalyaJunction,4.19,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,2.997921078870964
Basveshwarnagar 8th main Junction,4.19,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,2.843236006716741
BrigadeMillenium,4.19,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,2.843236006716741
ESI(k r puram),10.19,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,2.843236006716741
NationalCollege,10.19,Low,none,3,3,none,deploy_at_event_start,remove_after_360_min,1,2.843236006716741
BEML GateJunc(SuranjandasRd),4.17,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,1.295174537829047
BhadrappaLayout,5.48,Low,none,2,2,none,deploy_at_event_start,remove_after_360_min,1,28.10027919314524
Yemalur cross junc,35.79,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,59.317188303165565
"KuvempuCircleJunc,HAL MainGate",28.04,Low,none,6,6,none,deploy_at_event_start,remove_after_360_min,1,5.768355884952951
"Narayanapura cross, Hegde nagar",3.35,Low,none,1,1,none,deploy_at_event_start,remove_after_360_min,1,32.90030236343658
