junction,latitude,longitude,raw_count,weighted_intensity,mean_trust,z_score,p_sim,is_significant,hotspot_probability,bootstrap_samples
SafinaPlazaJunc,12.9801409,77.6074116,1,1.0,1.0,-0.4530977943451742,0.161,False,0.047244094488188976,127
TyagiHengalvarayaJunc(DickensonRd),12.981654599999999,77.60941434,5,5.0,1.0,-0.4530977943451742,0.082,False,0.20304568527918782,197
"Jayanagar 4th main,36th cross",12.9225838,77.5803166,2,2.0,1.0,-0.4613680144901944,0.148,False,0.09248554913294797,173
CholurpalyaJunction(MagadiRd),12.973764150000001,77.5500964,2,2.0,1.0,-0.46798419060621055,0.128,False,0.2155688622754491,167
MC Circle,12.976117833333333,77.54777961666666,6,6.0,1.0,-0.46798419060621055,0.071,False,0.42424242424242425,198
AgaraJunction,12.923731916666668,77.64970595,6,5.7,0.9500000000000001,-0.46963823463521454,0.071,False,0.271356783919598,199
Basappa Circle Junction,12.957186906666665,77.57678725333334,3,3.0,1.0,-0.469803639038115,0.11,False,0.19270833333333334,192
"PriyadarshiniHotel,Jayamahal,RT Nagar",13.001852065000001,77.59451953833333,6,5.4,0.9,-0.4701344478439158,0.081,False,0.32,200
NavarangBarJunc-Dr RajkumarRd,12.987796445,77.55978970999999,2,1.49,0.745,-0.48138194724114325,0.126,False,0.1781609195402299,174
BasavamantapaJunc-Dr RajkumarRd,12.9802019,77.55618905,2,1.7,0.85,-0.48138194724114325,0.115,False,0.19186046511627908,172
GorappanapalyaJunction,12.920906,77.6002661,1,1.0,1.0,-0.4851862485078526,0.135,False,0.23636363636363636,110
RamaiahCircle-UlsoorPoliceStation,12.975644066666668,77.6259338,9,6.8999999999999995,0.7666666666666666,-0.4879981233571594,0.05,False,0.37,200
Bamboobazar(Shivajinagar),12.9930158,77.60516129999999,2,1.49,0.745,-0.49511051268187684,0.106,False,0.08522727272727272,176
Basveshwarnagar 8th main Junction,12.99274321,77.53414506,1,0.7,0.7,-0.4979223875311837,0.113,False,0.056451612903225805,124
Shivashankara circle,12.95775582,77.57404088,5,5.0,1.0,-0.5028845196181958,0.06,False,0.4263959390862944,197
JayadevaHospitalJunc,12.915537875,77.6001182625,8,7.7,0.9625,-0.5066888208849052,0.033,True,0.645,200
OldMadrasRd-DoubleRdJunc,12.98281526,77.6375072,3,3.0,1.0,-0.5142974234183237,0.074,False,0.3072916666666667,192
ItmaduJunction,12.92794845,77.54645538333334,6,6.0,1.0,-0.5144628278212241,0.041,True,0.15577889447236182,199
WebbsCircle,12.973985733333334,77.61382183333333,3,2.4,0.7999999999999999,-0.5144628278212241,0.063,False,0.35714285714285715,196
PotteryCircle,13.0021017,77.61223598,5,4.49,0.898,-0.5151244454328258,0.055,False,0.45454545454545453,198
PrasannaJunction,12.975611336666667,77.55341817833333,6,6.0,1.0,-0.5176055114763317,0.039,True,0.45,200
BegumMahalJunc,12.9757196,77.620183425,4,3.7,0.925,-0.5227330479662443,0.057,False,0.3384615384615385,195
MarenahalliRd-18thMainRdJunc,12.9186031,77.58915404999999,2,2.0,1.0,-0.5228984523691448,0.081,False,0.13068181818181818,176
HainsJunc,12.9941844,77.60665671666666,6,5.49,0.915,-0.5232292611749455,0.036,True,0.37185929648241206,199
TrinityCircle,12.971906496363637,77.61934259909091,11,8.69,0.7899999999999999,-0.5260411360242524,0.015,True,0.565,200
HennurRd-DavisRdJunction,13.003295697999999,77.620409662,5,4.49,0.898,-0.5281913932619576,0.042,True,0.525,200
SindhiColonyJunction,12.994906466666666,77.61605924444444,9,7.89,0.8766666666666666,-0.5281913932619576,0.02,True,0.77,200
ShivanahalliJunctionWOC,12.989829300000002,77.55055643333334,3,3.0,1.0,-0.5291838196793601,0.064,False,0.47959183673469385,196
Rajajinagagr1stBlockJunction,13.00449865,77.54946015,2,2.0,1.0,-0.5310032681112645,0.078,False,0.4044943820224719,178
VijayanagarBusStandJunction,12.973221583333334,77.53947993333334,6,6.0,1.0,-0.5341459517663723,0.024,True,0.7,200
PuttammaChoultryNagarbhavi,12.9756474,77.53791515,2,1.7,0.85,-0.5341459517663723,0.08,False,0.3463687150837989,179
RajarajeshwariKalyanaMantapaJunc,12.994492,77.5541902,1,1.0,1.0,-0.5376194442272807,0.082,False,0.3821138211382114,123
BEML GateJunc(SuranjandasRd),12.9692543,77.65860705,2,2.0,1.0,-0.5391080838533844,0.065,False,0.17613636363636365,176
OldMadrasRd-BMTC DepotJunc,12.9825565,77.6353914,1,1.0,1.0,-0.5391080838533844,0.08,False,0.33070866141732286,127
KamrajRdJunction,12.97709826,77.6089381,5,4.4,0.8800000000000001,-0.5424161719113924,0.044,True,0.6954314720812182,197
MaharajaJunction,12.93436245,77.6296954,2,1.7,0.85,-0.5440702159403965,0.068,False,0.4911242603550296,169
Arts&CraftsCircle,12.9753296,77.6073261,2,1.7,0.85,-0.5473783039984046,0.065,False,0.23295454545454544,176
JaiMuniRaoCircle,12.978470042000001,77.543288764,5,5.0,1.0,-0.5506863920564127,0.032,True,0.45,200
MayohallJunction,12.973328760000001,77.61061404,5,4.7,0.9400000000000001,-0.5523404360854166,0.034,True,0.7336683417085427,199
BhashyamCircle,12.9850372,77.55434766666667,3,3.0,1.0,-0.5591220166043332,0.045,True,0.582010582010582,189
Minerva Circle,12.9549542,77.58042775,2,2.0,1.0,-0.5640841486913454,0.05,False,0.24848484848484848,165
ThomasCafe-New,12.9905937,77.6138551,1,1.0,1.0,-0.5693770895841583,0.05,False,0.43859649122807015,114
KHB Junction,12.9807626,77.5366494,1,1.0,1.0,-0.5721889644334652,0.057,False,0.3609022556390977,133
ColesParkJunc,12.9928238,77.6096432,1,1.0,1.0,-0.5778127141320789,0.049,True,0.366412213740458,131
YediyurMeternityHospital,12.9267084,77.577034,1,1.0,1.0,-0.5837672726364935,0.038,True,0.15702479338842976,121
KR Road-14thCross Junc,12.929715,77.573648,1,1.0,1.0,-0.5837672726364935,0.047,True,0.36885245901639346,122
ManipalCentreJunc,12.975913349999999,77.61298679999999,2,1.7,0.85,-0.5969996248685258,0.038,True,0.6162790697674418,172
Srinivagilu(Ejipura)Junc,12.938698,77.634254475,4,3.7,0.925,-0.6021271613584384,0.017,True,0.8247422680412371,194
SonyworldJunction,12.9374064,77.62750926666666,3,3.0,1.0,-0.6021271613584384,0.021,True,0.35751295336787564,193
SwagathMainRd-EastEndRdJunc,12.92727815,77.59705165,2,1.49,0.745,-0.6041120141932432,0.03,True,0.25882352941176473,170
17th Mn 1st Crs Aishwarya Stores Jn,12.9250436,77.6336263,1,1.0,1.0,-0.6052698450135461,0.035,True,0.27611940298507465,134
DickensonRd-AdigasJunc,12.9796588,77.613821,1,1.0,1.0,-0.6085779330715542,0.037,True,0.674074074074074,135
CMH Rd-AdarshTheaterJunc,12.978331579999999,77.62877914,5,4.4,0.8800000000000001,-0.6151941091875703,0.009,True,0.66,200
KensingtonOvalJunc,12.9821285,77.6236031,1,1.0,1.0,-0.6201562412745824,0.032,True,0.6825396825396826,126
ModiBridgeJunction,12.998804033333334,77.5498981,3,2.49,0.8300000000000001,-0.6203216456774827,0.018,True,0.7142857142857143,196
ModiHospital,12.9975256,77.5470383,1,1.0,1.0,-0.6203216456774827,0.027,True,0.6640625,128
Rajajinagar19thMainJunc,12.9977006,77.55124131666666,6,6.0,1.0,-0.6203216456774827,0.006,True,0.88,200
NavarangTheatreJunction,12.998120985,77.5528348225,4,4.0,1.0,-0.6203216456774827,0.008,True,0.7157360406091371,197
ShankarMuttCircle,12.999046466666668,77.54133353333333,3,3.0,1.0,-0.625283777764495,0.012,True,0.7319587628865979,194
DhobiGhatJunc,12.98687955857143,77.55060211714286,7,7.0,1.0,-0.625283777764495,0.003,True,0.915,200
AnjaneyaTempleJunc,12.981286866666666,77.63094503333333,3,2.0999999999999996,0.6999999999999998,-0.6267724173905985,0.015,True,0.453125,192
TamarikannanJunc,12.9813476,77.6285708,1,0.7,0.7,-0.6267724173905985,0.025,True,0.6285714285714286,140
WiproJunc-Koramangala,12.9297671,77.6330898,1,1.0,1.0,-0.6267724173905986,0.02,True,0.6484375,128
LalbaghWestGate,12.9483534,77.5797302,1,1.0,1.0,-0.630245909851507,0.029,True,0.6134453781512605,119
NagaTheaterJunc-Ulsoor,12.9897527,77.6180398,1,0.7,0.7,-0.6517484822285596,0.012,True,0.5447761194029851,134
NationalCollege,12.9516353,77.5736202,1,0.7,0.7,-0.6583646583445757,0.01,True,0.7322834645669292,127
HalliThindi,12.943953533333334,77.56790193333335,3,3.0,1.0,-0.6995503546667764,0.001,True,0.9578947368421052,190
DMRoadJunc(Basavangudi),12.943615,77.5722,1,1.0,1.0,-0.7491716755368976,0.001,True,0.967479674796748,123
Geeta Circle,12.9285748,77.5861157,1,1.0,1.0,-0.7526451679978062,0.001,True,0.746031746031746,126
27th Cross Jayanagar(Ganapathi Temple),12.9317517,77.5797388,1,1.0,1.0,-0.7772904240299664,0.002,True,0.5597014925373134,134
South end circle,12.937703816666668,77.57961607,3,3.0,1.0,-0.7938308643200068,0.001,True,0.9897959183673469,196
