junction,dis_score,risk_level,obi_component,hawkes_component,future_risk_component,rmst_component,persistence_component,pc1_loading_obi,pc1_loading_hawkes,pc1_loading_future,pc1_loading_rmst,pc1_loading_persistence,ods_score,duration_factor,closure_factor,cascade_factor,p80_duration_min,closure_flag,hawkes_branching_ratio,officers,supervisors,tow_vehicles,qru_units,patrol_vehicles,barricades_from_ods,allocated_officers,allocated_tow,allocated_barricades,allocated_supervisors,allocation_fraction_x,strategy,barricades,closure_type,teams_needed,severity_hotspot_score,persistence_class,tow_unit,tow_priority_score,allocation_fraction_y,fully_allocated
OldMadrasRd-NGEF Junc,26.78,Low,0.3179108329747186,0.0,0.0548824772051306,0.7288083357572946,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,112.48,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,74.34238672201172,recurring,TOW-073,0.292,,
PES-DevegowdaCircle,22.56,Low,0.3154902617161682,0.0,0.0707578392463382,0.6873528077339963,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,94.75,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,48.417524040872905,chronic,TOW-098,0.2145,,
BDA Junctio-Koramangala,20.14,Low,0.3144965969278743,0.0,0.1126010745428129,0.8210457947225714,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,84.59,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,73.45894817565002,chronic,,,,
MeenakshiMallJunc,16.45,Low,0.3131742924801572,0.0,0.157306470290709,1.0,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,69.09,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,102.86511949744778,recurring,,,,
AnilKumbleCircle,27.82,Low,0.3127712780726626,0.0,0.0866319565405778,0.7288083357572946,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,116.84,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,72.69190178208848,transient,TOW-069,0.2963,,
OldMadrasRd-80FeetRdJunc,27.8,Low,0.3124511044793842,0.0,0.0866319565405778,0.7288083357572946,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,116.76,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,71.89325331269475,transient,TOW-070,0.2962,,
SadahalliGateJunc(AirportRd),25.99,Low,0.3104380240149726,0.0,0.1215529684652409,0.4344051751689656,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,109.16,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,76.84282982408321,recurring,,,,
OperaHouseJunc,17.57,Low,0.3074855433873015,0.0,0.07884237024025,0.6532391382709692,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,73.79,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,91.87452483380729,transient,,,,
Srigandakaval,38.32,Moderate,0.3072047992582417,0.0,0.3295246996687681,0.2932269763284893,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,160.94,4.0,1.0,1.05,360.0,0,0.05,6,1,3,0,2,9,6,3,9,1,1.0,partial_closure,9,partial_lane,2,183.2305381533538,recurring,TOW-071,0.2947,,
RamaiahCircle-UlsoorPoliceStation,26.25,Low,0.3054423487809951,0.0,0.0548824772051306,0.7288083357572946,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,110.25,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,83.26031569573055,transient,TOW-075,0.2898,,
BiryandCircle,26.34,Low,0.303769059156806,0.0,0.0951291803748282,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,110.63,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,60.92648585821589,transient,TOW-094,0.2301,,
Marigowda-TavarkereRdJunc,30.26,Moderate,0.3015539138369474,0.0,0.4294412203815033,0.68318723951399,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,127.09,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,108.04667333656394,recurring,,,,
JP Nagar 15th cross junction,17.42,Low,0.2953720159946875,0.0,0.1139281669978109,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,73.16,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,95.84168607307274,transient,,,,
JayadevaHospitalJunc,14.89,Low,0.2946339691994127,0.0,0.1376786654352668,1.0,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,62.54,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,89.32928308441386,transient,,,,
SadashivnagarJunc,31.5,Moderate,0.2942164480671278,0.0,0.3113619754030297,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,132.3,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,47.03276252110128,chronic,TOW-086,0.2515,,
CashPharmacyJunction,16.5,Low,0.2917853364660687,0.0,0.0108355961806071,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,69.3,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,36.18713598280348,recurring,,,,
SagarHospitalJunc,9.63,Low,0.291319141267641,0.0,0.1598365134793089,1.0,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,40.45,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,60.92648585821589,transient,,,,
Deverabeesanahalli-ORR Junc,23.01,Low,0.2887685261083526,0.0,0.1561143624876072,0.74668056033367,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,96.64,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,178.73389195216436,chronic,TOW-097,0.2164,,
FTI Junction(KanteeravaStudio),33.28,Moderate,0.2873639224417353,0.0,0.2119040445023172,0.6760714024045955,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,139.78,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,44.66171091242997,chronic,TOW-058,0.3189,,
HennurRoad-ORR Junc,28.33,Low,0.2812987006548514,0.0,0.3824223003754066,0.6570958015602436,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,118.99,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,193.9481933167798,recurring,,,,
A S CharStreet-MysoreRdJunc,17.5,Low,0.2811970951555556,0.0,0.0474536563431285,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,73.5,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,54.822056436119055,transient,,,,
KamrajRdJunction,23.79,Low,0.2810925816945073,0.0,0.0185702638871506,0.7288083357572946,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,99.92,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,55.51757464642407,transient,TOW-078,0.2796,,
OldPoliceStation-Ashoknagar,29.54,Low,0.280406089995646,0.0,0.0496110263120404,0.5776699407846438,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,124.07,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,50.88861193767272,transient,TOW-067,0.3034,,
CMH Rd-AdarshTheaterJunc,11.74,Low,0.2801582670660559,0.0,0.0180989070384527,0.7288083357572946,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,49.31,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,53.61530755522998,transient,,,,
MayohallJunction,29.72,Low,0.2800935978748627,0.0,0.0180989070384527,0.7288083357572946,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,124.82,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,none,7,none,1,53.45399521827407,transient,TOW-048,0.3641,,
GarebhavipalyaJunc,19.64,Low,0.2800480944225412,0.0,0.0370514768889885,0.6903030766233844,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,82.49,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,49.95971840373703,recurring,,,,
KundanahalliGateJunc,36.26,Moderate,0.2786472945985135,0.0,0.1969368114115103,0.3465559218763086,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,152.29,4.0,1.0,1.05,360.0,0,0.05,6,1,2,0,2,8,6,2,8,1,1.0,partial_closure,8,partial_lane,1,136.05757055677003,chronic,TOW-082,0.2712,,
MysoreRd--MadhuPetrolBunkJunction,17.39,Low,0.2762256957532145,0.0,0.0498670542263181,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,109.56,4.0,1.5,1.05,360.0,1,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,36.60693856782195,transient,,,,
WebbsCircle,16.55,Low,0.2661130117507128,0.0,0.0032110293602715,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,69.51,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,32.108689841331014,transient,,,,
DairyCircle,11.05,Low,0.2652202395100944,0.0,0.1000063425813584,0.8380357012022978,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,46.41,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,50.190773699528975,transient,,,,
OldMadrasRd-DoubleRdJunc,16.79,Low,0.2644128373351421,0.0,0.0109731027300856,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,70.52,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,20.814557033553207,transient,,,,
Rajajinagar19thMainJunc,25.82,Low,0.2625569346316405,0.0,0.1136439646716864,0.7598931362552764,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,108.44,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,73.11178302985907,recurring,TOW-076,0.288,,
CoffeeBoardJunc,21.04,Low,0.2624513807368525,0.0,0.059339024438465,0.4496976133505049,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,88.37,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,132.1248090195431,transient,,,,
AnjaneyaTempleJunc,16.27,Low,0.2623682269267618,0.0,0.0001059344141823,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,68.33,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,25.589124060450672,transient,,,,
OldMadrasRd-SuddaguntepalyaRdJunc,10.28,Low,0.2623682269267618,0.0,0.0001059344141823,0.7288083357572946,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,43.18,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,25.589124060450672,transient,,,,
UttarahalliJunction,24.33,Low,0.2616473295637564,0.0,0.3164966572089382,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,102.19,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,96.71417871629414,recurring,,,,
ManipalCentreJunc,16.18,Low,0.2600029240002378,0.0,0.000272863809787,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,67.96,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,19.53737325115064,transient,,,,
IbblurJunction',26.78,Low,0.2598831849318489,0.0,0.1307506317544485,0.74668056033367,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,112.48,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,184.4253215242703,recurring,TOW-074,0.292,,
SandeepUnnikrishnan-Yelhanka,31.77,Moderate,0.2595782956719043,0.0,0.2035830898001896,0.6760714024045955,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,133.43,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,29.005180360431662,chronic,TOW-060,0.3126,,
Arts&CraftsCircle,16.1,Low,0.2583160195437484,0.0,9.009662919726874e-05,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,67.62,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,15.495594968429822,transient,,,,
BloodBankCircle,22.67,Low,0.2558401740133565,0.0,0.2433096697507496,0.6268706715946196,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,95.21,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,113.42935600314192,chronic,,,,
OldMadrasRd-BMTC DepotJunc,15.99,Low,0.2557099545624371,0.0,0.0,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,67.16,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,9.076833923062052,transient,,,,
TamarikannanJunc,15.98,Low,0.2554906149242557,0.0,0.0,0.7288083357572946,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,67.12,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,8.529708020150224,transient,,,,
StateBankofMysoreJunc,23.62,Low,0.2498181333353137,0.0,0.3113619754030297,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,99.2,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,5,4,2,5,1,1.0,none,5,none,1,47.77612025697399,recurring,,,,
DhobiGhatJunc,31.35,Moderate,0.2461976912180655,0.0,0.119482800060848,0.7598931362552764,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,131.67,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,85.5251549535167,transient,TOW-045,0.3709,,
RoyanCircle-Chamrajpete,14.14,Low,0.2452615739549648,0.0,0.0007507018347084,0.5776699407846438,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,59.39,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,7.621317042950318,transient,,,,
JohnsonMarket,13.28,Low,0.2445493732939661,0.0,0.0228484223429419,0.6339865087040142,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,55.78,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,38.67775582768686,transient,,,,
Nagarbhavi,25.38,Low,0.2423875280089628,0.0,0.2119040445023172,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,106.6,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,42.00220318640979,chronic,TOW-096,0.2262,,
29thMainRdBTM LayoutJunc,20.26,Low,0.2377384626438973,0.0,0.0872597470203434,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,85.09,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,33.16213017365894,chronic,,,,
Delmia-Jayanagar,16.93,Low,0.2375923861129326,0.0,0.0116615237843358,0.6873528077339963,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,71.11,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,44.6416623905507,transient,,,,
HopefarmJunction,35.06,Moderate,0.2367055591712604,0.0,0.3113619754030297,0.6760714024045955,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,147.25,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,8,5,2,8,1,1.0,partial_closure,8,partial_lane,1,46.36140660773375,recurring,TOW-057,0.3262,,
KamakyaJunction,10.5,Low,0.2359824494719983,0.0,0.0023481153406671,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,44.1,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,11.455253630991663,recurring,,,,
MC Circle,12.34,Low,0.2357319468246088,0.0,0.1046853285560764,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,51.83,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,70.70431876742774,transient,,,,
VijayanagarBusStandJunction,9.75,Low,0.2342422961418713,0.0,0.0408173806248776,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,40.95,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,54.62365308071331,recurring,,,,
NCERT Junction,10.32,Low,0.2335453335114712,0.0,0.0003979249008467,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,43.34,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,14.974767419466591,recurring,,,,
UCO Bank(Forum),10.28,Low,0.2323830474570609,0.0,0.0028493693578323,0.6903030766233844,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,43.18,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,26.502365722725,transient,,,,
ShantalaJunction,25.7,Low,0.2299426756491617,0.0,0.2334766156506488,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,107.94,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,66.05834437272476,recurring,TOW-095,0.2275,,
AgaraJunction,15.11,Low,0.2285164867706353,0.0,0.1456356601464822,0.7113759813691325,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,63.46,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,68.33560146021472,recurring,,,,
AdugodiJunc,9.91,Low,0.2263097211658737,0.0,0.0002040084076933,0.6903030766233844,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,41.62,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,13.75668429433104,transient,,,,
DevegowdaPetrolBunkJunc,10.02,Low,0.2261008657788876,0.0,0.0008593509258217,0.6873528077339963,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,42.08,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,25.79257724059176,transient,,,,
J D MaraJunc,6.72,Low,0.224407320986448,0.0,0.0061834214298536,1.0,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,28.22,4.0,1.0,1.05,360.0,0,0.05,1,1,1,0,1,2,1,1,2,1,1.0,none,2,none,1,33.64032842821376,transient,,,,
HoramavuJunction,17.95,Low,0.222900759719521,0.0,0.2184504637917799,0.7048527576772889,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,75.39,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,142.53310028599412,recurring,,,,
VeerasandraGateJunction,30.53,Moderate,0.2224904819500717,0.0,0.2119040445023172,0.6760714024045955,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,128.23,4.0,1.0,1.05,360.0,0,0.05,5,1,2,0,2,7,5,2,7,1,1.0,partial_closure,7,partial_lane,1,45.35738031746069,chronic,TOW-065,0.3075,,
ShivandaCircle,28.33,Low,0.219533476522364,0.0,0.3113619754030297,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,118.99,4.0,1.0,1.05,360.0,0,0.05,4,1,2,0,1,6,4,2,6,1,1.0,none,6,none,1,46.7358470202285,recurring,TOW-091,0.2384,,
GangammagudiJunc,19.76,Low,0.2153171585931222,0.0,0.0986943468734737,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,82.99,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,21.281806109558104,chronic,,,,
SwagathMainRd-EastEndRdJunc,11.02,Low,0.2151283624814156,0.0,0.0012871053162094,0.8380357012022978,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,46.28,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,14.943822600827476,transient,,,,
KrishnaFlourMill,19.75,Low,0.2121184325970904,0.0,0.2536538187436855,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,82.95,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,64.58049244027005,recurring,,,,
GorappanapalyaJunction,0.0,Low,0.2120865770732929,0.0,0.0009708194693805,1.0,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,0.0,4.0,1.0,1.05,360.0,0,0.05,1,1,0,0,1,0,1,0,0,1,1.0,none,0,none,0,7.643722409212817,transient,,,,
Ring road-Near Kengunte Junction,17.75,Low,0.2116311314699786,0.0,0.2035830898001896,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,74.55,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,30.08215801795969,chronic,,,,
NavarangTheatreJunction,9.52,Low,0.2100697531263443,0.0,0.0607879009702428,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,39.98,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,2,2,1,2,1,1.0,none,2,none,1,48.74118868657271,transient,,,,
Srinivagilu(Ejipura)Junc,5.91,Low,0.208828613382917,0.0,0.0174720003960764,0.8210457947225714,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,24.82,4.0,1.0,1.05,360.0,0,0.05,1,1,1,0,1,2,1,1,2,1,1.0,none,2,none,1,51.68809780039498,recurring,,,,
LRDE Junction,19.24,Low,0.2078374839296374,0.0,0.2112547759918351,0.6313028018047949,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,80.81,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,108.2860195987214,recurring,,,,
MahalaxmiLayoutEntranceJunc,9.8,Low,0.2059537987528639,0.0,0.0403467087222222,0.7179822693299358,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,41.16,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,57.04859354227724,transient,,,,
SonyworldJunction,10.86,Low,0.1979888984902567,0.0,0.0025530208042028,0.8210457947225714,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,45.61,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,35.64534037393527,recurring,,,,
5thMainRPC Layout-Vijayanagar,6.8,Low,0.1977831828488589,0.0,0.0050246703872856,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,28.56,4.0,1.0,1.05,360.0,0,0.05,1,1,1,0,1,2,1,1,2,1,1.0,none,2,none,1,30.590153858937168,recurring,,,,
RamamurthyNagarJunction,19.06,Low,0.194240914374014,0.0,0.1256575271789511,0.7048527576772889,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,80.05,4.0,1.0,1.05,360.0,0,0.05,3,1,2,0,1,5,3,2,5,1,1.0,none,5,none,1,100.69899976157213,chronic,,,,
Jaipuria-Adugodi,5.19,Low,0.1930906940705657,0.0,0.0160868573672661,0.8210457947225714,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,21.8,4.0,1.0,1.05,360.0,0,0.05,1,1,1,0,1,2,1,1,2,1,1.0,none,2,none,1,56.48380777410003,transient,,,,
HSR14thMainJunc,18.91,Low,0.1916342359007338,0.0,0.1294469056805943,0.7113759813691325,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,79.42,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,28.3916738734558,recurring,,,,
RingRoad-UllalJunction,12.78,Low,0.1900820472250537,0.0,0.1006852101467612,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,53.68,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,30.84904270252157,chronic,,,,
CholurpalyaJunction(MagadiRd),6.22,Low,0.1880058509268624,0.0,0.000824532760836,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,26.12,4.0,1.0,1.05,360.0,0,0.05,1,1,1,0,1,2,1,1,2,1,1.0,none,2,none,1,20.024433972404864,recurring,,,,
ModiBridgeJunction,12.4,Low,0.1869997428376782,0.0,0.0065760664693849,0.7598931362552764,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,52.08,4.0,1.0,1.05,360.0,0,0.05,2,1,1,0,1,3,2,1,3,1,1.0,none,3,none,1,40.45558695473127,transient,,,,
ShivanahalliJunctionWOC,18.38,Low,0.186717011983667,0.0,0.0065760664693849,0.7598931362552764,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,77.2,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,39.75033652638003,transient,,,,
Krupanidhi College,17.39,Low,0.1856708890010343,0.0,0.2222695463808526,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,73.04,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,20.73667481322472,recurring,,,,
AnandRaoJunction,16.6,Low,0.1845619981063187,0.0,0.2035830898001896,0.6760714024045955,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,69.72,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,28.1805865039154,recurring,,,,
MargosaRd-18thCrossJunc,17.26,Low,0.1836824497980597,0.0,0.0693700804611078,0.6760714024045955,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,72.49,4.0,1.0,1.05,360.0,0,0.05,3,1,1,0,1,4,3,1,4,1,1.0,none,4,none,1,24.35317362142644,chronic,,,,
AttiguppeCircleJunction,5.97,Low,0.1823391580641838,0.0,0.0006520321727875,0.7598931362552764,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,25.07,4.0,1.0,1.05,360.0,0,0.05,1,1,1,0,1,2,1,1,2,1,1.0,none,2,none,1,7.921157311968372,recurring,,,,
